no,longitude,latitude,desa,jumlah,geometry,x,y
1,109.340393,-7.464599,kalialang,1,POINT (316857.07599627844 9174546.150548983),316857.07599627844,9174546.150548983
2,109.352438,-7.404705,kalikabong,1,POINT (318161.9848456854 9181175.001226526),318161.9848456854,9181175.001226526
3,109.354307,-7.384548,purbalingga lor,1,POINT (318360.0747182176 9183404.985442879),318360.0747182176,9183404.985442879
4,109.353445,-7.3867897,purbalingga lor,1,POINT (318265.82387534616 9183156.717953509),318265.82387534616,9183156.717953509
5,109.529146,-7.319873,bantarbarang,1,POINT (337638.436456686 9190624.47480767),337638.436456686,9190624.47480767
6,109.356737,-7.369449,brobot,1,POINT (318622.2016767536 9185075.81342234),318622.2016767536,9185075.81342234
7,109.368957,-7.320777,kradenan,1,POINT (319951.7647695838 9190463.484791907),319951.7647695838,9190463.484791907
8,109.339455,-7.30379,bojong,1,POINT (316687.273712434 9192330.205993926),316687.273712434,9192330.205993926
9,109.354876,-7.379881,kembaran kulon,1,POINT (318420.9890237318 9183921.3537327),318420.9890237318,9183921.3537327
10,109.330042,-7.389385,karangjambe,1,POINT (315683.1481528655 9182860.076169027),315683.1481528655,9182860.076169027
11,109.324949,-7.390645,karangjambe,1,POINT (315121.3912503189 9182718.615640547),315121.3912503189,9182718.615640547
12,109.355125,-7.350561,bojongsari,1,POINT (318436.5426976285 9187164.031876897),318436.5426976285,9187164.031876897
13,109.449618,-7.41561,sokanegara,1,POINT (328894.37877442106 9180007.635421485),328894.37877442106,9180007.635421485
14,109.404175,-7.448427,tidu,1,POINT (323890.9632337417 9176360.610675095),323890.9632337417,9176360.610675095
15,109.403845,-7.448248,bukateja,1,POINT (323854.46504369116 9176380.274794376),323854.46504369116,9176380.274794376
16,109.466897,-7.322776,pekiringan,1,POINT (330766.55332661123 9190280.48104721),330766.55332661123,9190280.48104721
17,109.455477,-7.425875,penaruban,1,POINT (329545.1046695351 9178874.708162632),329545.1046695351,9178874.708162632
18,109.353322,-7.402828,kalikabong,1,POINT (318258.8072694153 9181382.945825802),318258.8072694153,9181382.945825802
19,109.525777,-7.360852,panunggalan,1,POINT (337281.36682930344 9186091.64246412),337281.36682930344,9186091.64246412
20,109.341954,-7.433392,rabak,1,POINT (317016.43230337003 9177998.09805101),317016.43230337003,9177998.09805101
21,109.411159,-7.305197,karanganyar,1,POINT (324605.4717320843 9192203.157117246),324605.4717320843,9192203.157117246
22,109.442624,-7.383824,sinduraja,1,POINT (328110.0030444327 9183520.089425402),328110.0030444327,9183520.089425402
23,109.320557,-7.277497,sangkanayu,1,POINT (314589.66614764335 9195230.32480758),314589.66614764335,9195230.32480758
