longitude,latitude,desa,X_UTM,Y_UTM,kepadatan_KDE
109.340393,-7.464599,kalialang,316857.07599627844,9174546.150548983,2.2658473137802418e-10
109.352438,-7.404705,kalikabong,318161.9848456854,9181175.001226526,7.206194122366104e-09
109.354307,-7.384548,purbalingga lor,318360.0747182176,9183404.98544288,1.1280563707292117e-08
109.353445,-7.3867897,purbalingga lor,318265.82387534616,9183156.717953509,1.1445354822260826e-08
109.529146,-7.319873,bantarbarang,337638.436456686,9190624.47480767,3.259272473100257e-11
109.356737,-7.369449,brobot,318622.2016767536,9185075.81342234,7.140326323937248e-09
109.368957,-7.320777,kradenan,319951.7647695838,9190463.484791908,3.2757868012865614e-10
109.339455,-7.30379,bojong,316687.273712434,9192330.205993926,3.297276378507317e-10
109.354876,-7.379881,kembaran kulon,318420.9890237318,9183921.3537327,1.0554457633229582e-08
109.330042,-7.389385,karangjambe,315683.1481528655,9182860.076169029,5.855317978335201e-09
109.324949,-7.390645,karangjambe,315121.3912503189,9182718.615640547,4.375901257327241e-09
109.355125,-7.350561,bojongsari,318436.5426976285,9187164.031876896,1.9427903858572027e-09
109.449618,-7.41561,sokanegara,328894.37877442106,9180007.635421485,2.3823062634394117e-09
109.404175,-7.448427,tidu,323890.9632337417,9176360.610675097,3.2154123805490854e-09
109.403845,-7.448248,bukateja,323854.4650436912,9176380.274794376,3.215349868410859e-09
109.466897,-7.322776,pekiringan,330766.55332661123,9190280.48104721,4.249322531422798e-13
109.455477,-7.425875,penaruban,329545.1046695351,9178874.708162632,2.2183404301981504e-09
109.353322,-7.402828,kalikabong,318258.8072694153,9181382.945825802,7.86005819057971e-09
109.525777,-7.360852,panunggalan,337281.36682930344,9186091.64246412,3.2511188455285754e-11
109.341954,-7.433392,rabak,317016.43230337003,9177998.09805101,6.921271744274551e-10
109.411159,-7.305197,karanganyar,324605.4717320843,9192203.157117246,1.3647995254687615e-11
109.442624,-7.383824,sinduraja,328110.0030444327,9183520.089425402,1.9763209116329333e-10
109.320557,-7.277497,sangkanayu,314589.6661476433,9195230.32480758,1.866128885621098e-10
