desa,rata_kde,jumlah_kasus,kelas_kerawanan
purbalingga lor,1.1362959264776472e-08,2,Sangat Rawan
kembaran kulon,1.0554457633229582e-08,1,Sangat Rawan
kalikabong,7.533126156472908e-09,2,Sangat Rawan
brobot,7.140326323937248e-09,1,Sangat Rawan
karangjambe,5.115609617831221e-09,2,Rawan
tidu,3.215412380549085e-09,1,Rawan
bukateja,3.215349868410859e-09,1,Rawan
sokanegara,2.3823062634394117e-09,1,Rawan
penaruban,2.2183404301981504e-09,1,Cukup Rawan
bojongsari,1.9427903858572027e-09,1,Cukup Rawan
rabak,6.92127174427455e-10,1,Cukup Rawan
bojong,3.297276378507317e-10,1,Cukup Rawan
kradenan,3.275786801286561e-10,1,Cukup Aman
kalialang,2.2658473137802416e-10,1,Cukup Aman
sinduraja,1.976320911632933e-10,1,Cukup Aman
sangkanayu,1.8661288856210979e-10,1,Cukup Aman
bantarbarang,3.259272473100257e-11,1,Aman
panunggalan,3.2511188455285754e-11,1,Aman
karanganyar,1.3647995254687615e-11,1,Aman
pekiringan,4.2493225314227984e-13,1,Aman
